# id|make|model|gen|year|country|body|rarity|hp
# Audi
audi_a5|Audi|A5|F5|2016|DE|coupe|rare|249
audi_a7|Audi|A7|C8|2018|DE|liftback|epic|340
audi_q2|Audi|Q2|GA|2016|DE|suv|common|150
audi_q3|Audi|Q3|F3|2018|DE|suv|rare|180
audi_q4|Audi|Q4 e-tron|F4|2021|DE|suv|rare|204
audi_e_tron|Audi|Q8 e-tron|GE|2018|DE|suv|epic|408
audi_rs4|Audi|RS4 Avant|B9|2018|DE|wagon|epic|450
audi_rs5|Audi|RS5|F5|2017|DE|coupe|epic|450
audi_s3|Audi|S3|8Y|2020|DE|sedan|epic|310
audi_s4|Audi|S4|B9|2016|DE|sedan|epic|354
audi_s5|Audi|S5|F5|2016|DE|coupe|epic|354
audi_sq5|Audi|SQ5|FY|2017|DE|suv|epic|354
audi_sq7|Audi|SQ7|4M|2016|DE|suv|epic|435
audi_sq8|Audi|SQ8|4M|2019|DE|suv|epic|507
audi_q5_sportback|Audi|Q5 Sportback|FY|2020|DE|suv|rare|249
audi_a4_allroad|Audi|A4 allroad|B9|2016|DE|wagon|rare|249
audi_a6_allroad|Audi|A6 allroad|C8|2019|DE|wagon|epic|340
audi_s6|Audi|S6|C8|2019|DE|sedan|epic|444
audi_s8|Audi|S8|D5|2019|DE|sedan|epic|571
audi_etron_gt|Audi|e-tron GT|J1|2021|DE|sedan|epic|476
# Toyota
toyota_camryxv80|Toyota|Camry|XV80|2024|JP|sedan|common|208
toyota_corollahatch|Toyota|Corolla Hatch|E210|2018|JP|hatch|common|122
toyota_highlander|Toyota|Highlander|XU70|2019|JP|suv|rare|244
toyota_prado250|Toyota|Land Cruiser Prado|250|2024|JP|offroad|epic|204
toyota_lc200|Toyota|Land Cruiser|200|2007|JP|offroad|epic|309
toyota_fortuner|Toyota|Fortuner|AN160|2015|JP|offroad|rare|177
toyota_c_hr|Toyota|C-HR|AX10|2016|JP|suv|common|122
toyota_yaris|Toyota|Yaris|XP210|2020|JP|hatch|common|125
toyota_yariscross|Toyota|Yaris Cross|XP210|2020|JP|suv|common|116
toyota_avensis|Toyota|Avensis|T27|2008|JP|sedan|common|152
toyota_auris|Toyota|Auris|E180|2012|JP|hatch|common|132
toyota_prius|Toyota|Prius|XW50|2015|JP|hatch|common|122
toyota_prius60|Toyota|Prius|XW60|2023|JP|hatch|rare|196
toyota_alphard|Toyota|Alphard|AH30|2015|JP|mpv|epic|300
toyota_vellfire|Toyota|Vellfire|AH30|2015|JP|mpv|epic|300
toyota_sienna|Toyota|Sienna|XL40|2020|JP|mpv|rare|243
toyota_tundra|Toyota|Tundra|XK70|2021|JP|pickup|epic|389
toyota_tacoma|Toyota|Tacoma|N300|2015|JP|pickup|rare|278
toyota_4runner|Toyota|4Runner|N280|2009|JP|offroad|rare|270
toyota_sequoia|Toyota|Sequoia|XK80|2022|JP|offroad|epic|437
toyota_venza|Toyota|Venza|XU80|2020|JP|suv|rare|219
toyota_crown|Toyota|Crown|S235|2022|JP|sedan|epic|264
toyota_gr86|Toyota|GR86|ZN8|2021|JP|coupe|epic|228
toyota_gryaris|Toyota|GR Yaris|XP210|2020|JP|hatch|epic|261
toyota_grcorolla|Toyota|GR Corolla|E210|2022|JP|hatch|epic|300
toyota_harrier|Toyota|Harrier|XU80|2020|JP|suv|rare|218
toyota_rav4_xa40|Toyota|RAV4|XA40|2013|JP|suv|common|146
toyota_camryxv50|Toyota|Camry|XV50|2011|JP|sedan|common|181
toyota_camryxv40|Toyota|Camry|XV40|2006|JP|sedan|common|167
# Nissan
nissan_almera|Nissan|Almera|G15|2012|JP|sedan|common|102
nissan_sentra|Nissan|Sentra|B18|2019|JP|sedan|common|149
nissan_teana|Nissan|Teana|L33|2013|JP|sedan|common|173
nissan_altima|Nissan|Altima|L34|2018|JP|sedan|common|188
nissan_maxima|Nissan|Maxima|A36|2015|JP|sedan|rare|300
nissan_juke|Nissan|Juke|F16|2019|JP|suv|common|117
nissan_kicks|Nissan|Kicks|P15|2016|JP|suv|common|122
nissan_murano|Nissan|Murano|Z52|2014|JP|suv|rare|249
nissan_pathfinder|Nissan|Pathfinder|R52|2012|JP|suv|rare|260
nissan_pathfinder_r53|Nissan|Pathfinder|R53|2021|JP|suv|rare|284
nissan_patrol|Nissan|Patrol|Y62|2010|JP|offroad|epic|405
nissan_navara|Nissan|Navara|D23|2014|JP|pickup|rare|190
nissan_leaf|Nissan|Leaf|ZE1|2017|JP|hatch|common|150
nissan_ariya|Nissan|Ariya|FE0|2020|JP|suv|rare|178
nissan_note|Nissan|Note|E12|2012|JP|hatch|common|98
nissan_tiida|Nissan|Tiida|C13|2015|JP|hatch|common|117
nissan_z|Nissan|Z|RZ34|2022|JP|coupe|epic|400
nissan_terrano|Nissan|Terrano|D10|2014|JP|suv|common|114
nissan_qashqai_j12|Nissan|Qashqai|J12|2021|JP|suv|common|158
nissan_xtrail_t33|Nissan|X-Trail|T33|2021|JP|suv|rare|163
# Honda
honda_fit|Honda|Fit|GK|2013|JP|hatch|common|130
honda_jazz|Honda|Jazz|GK|2015|JP|hatch|common|102
honda_city|Honda|City|GN|2020|JP|sedan|common|121
honda_hrv|Honda|HR-V|RU|2015|JP|suv|common|141
honda_hrv3|Honda|HR-V|RV|2021|JP|suv|common|131
honda_pilot|Honda|Pilot|YF|2015|JP|suv|rare|280
honda_passport|Honda|Passport|YF|2018|JP|suv|rare|280
honda_odyssey|Honda|Odyssey|RL6|2017|JP|mpv|rare|280
honda_ridgeline|Honda|Ridgeline|YK|2016|JP|pickup|rare|280
honda_crv6|Honda|CR-V|RS|2022|JP|suv|common|190
honda_civic11|Honda|Civic|FL|2021|JP|sedan|common|180
honda_accord11|Honda|Accord|CY|2023|JP|sedan|rare|192
honda_vezel|Honda|Vezel|RU|2013|JP|suv|common|131
honda_stepwgn|Honda|Stepwgn|RP|2015|JP|mpv|rare|150
# BMW
bmw_1|BMW|1 Series|F40|2019|DE|hatch|rare|136
bmw_2|BMW|2 Series|G42|2021|DE|coupe|rare|184
bmw_2gc|BMW|2 Series Gran Coupe|F44|2019|DE|sedan|rare|140
bmw_4|BMW|4 Series|G22|2020|DE|coupe|rare|184
bmw_5g60|BMW|5 Series|G60|2023|DE|sedan|rare|258
bmw_8|BMW|8 Series|G15|2018|DE|coupe|epic|333
bmw_x2|BMW|X2|U10|2023|DE|suv|rare|156
bmw_x4|BMW|X4|G02|2018|DE|suv|rare|184
bmw_ix|BMW|iX|I20|2021|DE|suv|epic|326
bmw_i4|BMW|i4|G26|2021|DE|sedan|epic|340
bmw_ix3|BMW|iX3|G08|2020|DE|suv|rare|286
bmw_m2|BMW|M2|G87|2023|DE|coupe|epic|453
bmw_m8|BMW|M8|F92|2019|DE|coupe|legendary|600
bmw_x3m|BMW|X3 M|F97|2019|DE|suv|epic|473
