# id|make|model|gen|year|country|body|rarity|hp
seat_ibiza|Seat|Ibiza|KJ|2017|ES|hatch|common|110
seat_leon|Seat|Leon|KL|2020|ES|hatch|common|150
seat_arona|Seat|Arona|KJ|2017|ES|suv|common|115
seat_ateca|Seat|Ateca|KH7|2016|ES|suv|common|150
seat_tarraco|Seat|Tarraco|KN2|2018|ES|suv|rare|190
cupra_formentor|Cupra|Formentor|KM7|2020|ES|suv|rare|310
cupra_born|Cupra|Born|K11|2021|ES|hatch|rare|231
cupra_leon|Cupra|Leon|KL|2020|ES|hatch|rare|300
cupra_ateca|Cupra|Ateca|KH7|2018|ES|suv|rare|300
cupra_tavascan|Cupra|Tavascan|MEB|2024|ES|suv|rare|340
cupra_terramar|Cupra|Terramar|CM|2025|ES|suv|rare|265
dacia_sandero|Dacia|Sandero|BJI|2020|RO|hatch|common|91
dacia_duster|Dacia|Duster|P1310|2024|RO|suv|common|130
dacia_jogger|Dacia|Jogger|RJI|2021|RO|mpv|common|110
dacia_spring|Dacia|Spring|B100|2021|RO|suv|common|65
dacia_bigster|Dacia|Bigster|CJD|2025|RO|suv|common|155
dacia_logan|Dacia|Logan|LJI|2020|RO|sedan|common|91
ds_3|DS|3|D34|2018|FR|suv|rare|130
ds_4|DS|4|D41|2021|FR|hatch|rare|180
ds_7|DS|7|X83|2017|FR|suv|rare|225
ds_9|DS|9|X83|2020|FR|sedan|epic|360
ds_n8|DS|N8|VFe|2025|FR|suv|epic|313
alpine_a110|Alpine|A110|A110|2017|FR|coupe|epic|300
alpine_a290|Alpine|A290|B10|2024|FR|hatch|rare|218
alpine_a390|Alpine|A390|B10|2025|FR|suv|epic|400
smart_1|Smart|#1|HX11|2022|DE|suv|rare|272
smart_3|Smart|#3|HX11|2023|DE|suv|rare|272
smart_5|Smart|#5|HX12|2024|DE|suv|rare|340
polestar_2|Polestar|2|CMA|2020|SE|liftback|epic|408
polestar_3|Polestar|3|SPA2|2024|SE|suv|epic|489
polestar_4|Polestar|4|SEA|2024|SE|suv|epic|544
lotus_emira|Lotus|Emira|Type 131|2022|GB|coupe|legendary|400
lotus_eletre|Lotus|Eletre|Type 132|2023|GB|suv|legendary|603
lotus_emeya|Lotus|Emeya|Type 133|2024|GB|sedan|legendary|603
ineos_grenadier|Ineos|Grenadier|Ineos|2022|GB|offroad|epic|285
ineos_quartermaster|Ineos|Quartermaster|Ineos|2023|GB|pickup|epic|285
rimac_nevera|Rimac|Nevera|C_Two|2021|HR|coupe|legendary|1914
lancia_ypsilon|Lancia|Ypsilon|L421|2024|IT|hatch|rare|156
