# id|make|model|gen|year|country|body|rarity|hp
# Remaining current Toyota
toyota_crown_crossover|Toyota|Crown Crossover|S235|2022|JP|suv|epic|234
toyota_century_suv|Toyota|Century SUV|GRG75|2023|JP|suv|legendary|412
toyota_grsupra|Toyota|GR Supra|A90|2019|JP|coupe|epic|387
toyota_aqua|Toyota|Aqua|XP210|2021|JP|hatch|common|116
toyota_raum|Toyota|Raize Cross|A200|2021|JP|suv|common|98
toyota_noah|Toyota|Noah|R90|2022|JP|mpv|rare|136
toyota_voxy|Toyota|Voxy|R90|2022|JP|mpv|rare|136
toyota_sienta|Toyota|Sienta|XP210|2022|JP|mpv|common|116
toyota_roomy|Toyota|Roomy|M900|2020|JP|mpv|common|64
toyota_pixis|Toyota|Pixis Epoch|LA350|2017|JP|hatch|common|52
toyota_proaceverso|Toyota|Proace Verso|K0|2016|JP|mpv|rare|150
toyota_tacoma_4th|Toyota|Tacoma|4th|2023|JP|pickup|epic|326
toyota_4runner_6|Toyota|4Runner|6th|2024|JP|offroad|epic|278
toyota_landcruiser_prado_j150|Toyota|Land Cruiser Prado|J150|2009|JP|offroad|epic|163
toyota_fortuner_legender|Toyota|Fortuner Legender|AN160|2020|JP|offroad|rare|204
toyota_innova_crysta|Toyota|Innova Crysta|AN140|2016|JP|mpv|common|150
toyota_glanza|Toyota|Glanza|K12N|2019|JP|hatch|common|90
toyota_urban_cruiser_hyryder|Toyota|Urban Cruiser Hyryder|TNGA|2022|JP|suv|common|103
toyota_camry_hybrid|Toyota|Camry Hybrid|XV80|2024|JP|sedan|rare|232
toyota_rav4_phev|Toyota|RAV4 PHEV|XA50|2020|JP|suv|rare|306
toyota_highlander_hybrid|Toyota|Highlander Hybrid|XU70|2019|JP|suv|rare|243
# Honda current
honda_civic_hybrid|Honda|Civic Hybrid|FE|2022|JP|sedan|rare|200
honda_accord_hybrid|Honda|Accord Hybrid|CY|2023|JP|sedan|rare|204
honda_crv_hybrid|Honda|CR-V Hybrid|RS|2023|JP|suv|rare|204
honda_hrv_hybrid|Honda|HR-V Hybrid|RV|2021|JP|suv|common|131
honda_pilot_trailsport|Honda|Pilot Trailsport|YD|2022|JP|suv|rare|285
honda_passport_trailsport|Honda|Passport Trailsport|YF|2025|JP|suv|rare|285
honda_odyssey_jp|Honda|Odyssey Absolute|RC|2018|JP|mpv|rare|174
honda_stepwgn_air|Honda|Step WGN Air|RP|2022|JP|mpv|rare|150
honda_nvan|Honda|N-Van|JJ1|2018|JP|van|common|58
honda_n_one|Honda|N-One|JG3|2020|JP|hatch|common|64
honda_n_wgn|Honda|N-WGN|JH3|2019|JP|hatch|common|64
honda_vezel_ehev|Honda|Vezel e:HEV|RV|2021|JP|suv|common|131
honda_wrv_in|Honda|WR-V RS|DG4|2023|JP|suv|common|121
# Nissan current
nissan_xtrail_e_power|Nissan|X-Trail e-POWER|T33|2022|JP|suv|rare|204
nissan_qashqai_e_power|Nissan|Qashqai e-POWER|J12|2022|JP|suv|rare|190
nissan_note_e_power|Nissan|Note e-POWER|E13|2020|JP|hatch|common|136
nissan_sakura_ev|Nissan|Sakura|KE0|2022|JP|hatch|common|64
nissan_ariya_nis|Nissan|Ariya Nismo|FE0|2024|JP|suv|epic|429
nissan_z_nismo|Nissan|Z Nismo|RZ34|2023|JP|coupe|epic|420
nissan_patrol_y62|Nissan|Patrol|Y62|2010|JP|offroad|epic|400
nissan_terra|Nissan|Terra|D23|2018|JP|offroad|rare|190
nissan_kicks_e_power|Nissan|Kicks e-POWER|P15|2020|JP|suv|common|129
nissan_sunny|Nissan|Sunny|N18|2019|JP|sedan|common|118
nissan_almera_n18|Nissan|Almera|N18|2019|JP|sedan|common|118
# Mazda / Subaru / Mitsubishi extras
mazda_3hatch|Mazda|3 Hatch|BP|2019|JP|hatch|common|186
mazda_6_gj|Mazda|6|GJ|2012|JP|sedan|common|192
mazda_cx5_kf|Mazda|CX-5|KF|2017|JP|suv|rare|194
mazda_mx5_nd|Mazda|MX-5|ND|2015|JP|convertible|rare|184
subaru_impreza6|Subaru|Impreza|6th|2023|JP|hatch|common|152
subaru_crosstrek2|Subaru|Crosstrek|GU|2023|JP|suv|rare|182
subaru_outback7|Subaru|Outback|BT|2020|JP|wagon|rare|182
mitsubishi_outlander_phev|Mitsubishi|Outlander PHEV|GN0W|2021|JP|suv|rare|224
mitsubishi_pajerosport_3|Mitsubishi|Pajero Sport|3rd|2015|JP|offroad|rare|181
# Hyundai / Kia extras
hyundai_staria_lounge|Hyundai|Staria Lounge|US4|2021|KR|mpv|rare|177
hyundai_palisade_2|Hyundai|Palisade|LX3|2025|KR|suv|epic|329
hyundai_santafe_mx5|Hyundai|Santa Fe|MX5|2023|KR|suv|rare|277
hyundai_tucson_nline|Hyundai|Tucson N Line|NX4|2021|KR|suv|rare|180
hyundai_kona_2|Hyundai|Kona|SX2|2023|KR|suv|common|198
hyundai_i20|Hyundai|i20|BC3|2020|KR|hatch|common|100
hyundai_i10|Hyundai|i10|AC3|2019|KR|hatch|common|67
hyundai_bayon_eu|Hyundai|Bayon|BC3|2021|KR|suv|common|100
hyundai_creta_nline|Hyundai|Creta N Line|SU2|2024|KR|suv|common|160
kia_sportage_nq5|Kia|Sportage|NQ5|2021|KR|suv|rare|180
kia_sorento_mq4|Kia|Sorento|MQ4|2020|KR|suv|rare|281
kia_carnival_ka4|Kia|Carnival|KA4|2020|KR|mpv|rare|294
kia_seltos_2|Kia|Seltos|SP2|2023|KR|suv|common|146
kia_soul_3|Kia|Soul|SK3|2019|KR|hatch|common|147
kia_picanto_3|Kia|Picanto|JA|2017|KR|hatch|common|67
kia_ceed_gt|Kia|Ceed GT|CD|2018|KR|hatch|rare|204
kia_proceed|Kia|ProCeed|CD|2018|KR|wagon|rare|204
kia_xceed|Kia|XCeed|CD|2019|KR|suv|common|140
kia_niro_2|Kia|Niro|SG2|2022|KR|suv|rare|129
kia_ev6_gt|Kia|EV6 GT|CV|2022|KR|suv|epic|585
# VW Group extras
vw_tiguan_allspace|Volkswagen|Tiguan Allspace|AD1|2017|DE|suv|rare|180
vw_touran|Volkswagen|Touran|5T|2015|DE|mpv|common|150
vw_sharan|Volkswagen|Sharan|7N|2010|DE|mpv|rare|170
vw_id5|Volkswagen|ID.5|MEB|2021|DE|suv|rare|204
